kozak,ghostly,1,s8w1
turtle,mesp,1
aspie,cynda,1
emperor,popzix,0
sylvee,crobatoh,0
emily,simon,0
eerie,offbeat,1
jacob,seahawkz,0
webster,mattyp,1
pickle,bismuth,1
ocho,ddiamond,0
risa,ginger,0
whyachi,sofie,0
eerie,ghostly,1,s8w2
pickle,offbeat,1
popzix,crobatoh,1
sylvee,ddiamond,1
emily,webster,0
aspie,jacob,0
turtle,ocho,1
mesp,cynda,0
bismuth,seahawkz,0
sofie,emperor,1
ginger,whyachi,0
mattyp,kozak,0
simon,risa,1
ocho,risa,1,s8w3
bismuth,jacob,0
webster,sylvee,1
turtle,aspie,1
pickle,eerie,1
ginger,ddiamond,1
ghostly,popzix,1
mesp,seahawkz,0
offbeat,kozak,0
cynda,mattyp,1
whyachi,crobatoh,1
emily,emperor,1
sofie,simon,1
bismuth,popzix,1,s8w4
seahawkz,ghostly,0
mesp,mattyp,1
whyachi,emperor,1
kozak,cynda,0
emily,sylvee,1
ocho,simon,1
risa,turtle,0
aspie,crobatoh,1
ddiamond,webster,0
sofie,pickle,0
ginger,offbeat,0
mesp,aspie,0,s8w5
cynda,ocho,0
jacob,sofie,1
simon,kozak,1
emperor,mattyp,1
eerie,popzix,1
bismuth,ghostly,1
pickle,whyachi,1
offbeat,webster,1
emily,ddiamond,1
sylvee,ginger,0
risa,crobatoh,0
seahawkz,turtle,0
jacob,risa,1,s8w6
emperor,webster,0
mattyp,pickle,0
turtle,popzix,1
emily,cynda,1
sylvee,ocho,0
ghostly,offbeat,0
ginger,kozak,1
aspie,simon,0
bismuth,mesp,1
ddiamond,crobatoh,1
seahawkz,sofie,0
eerie,whyachi,0
mesp,sofie,0,s8w7
eerie,emily,0
crobatoh,jacob,0
emperor,bismuth,0
whyachi,sylvee,0
simon,popzix,1
offbeat,cynda,1
ddiamond,mattyp,1
pickle,webster,1
kozak,turtle,1
ocho,ghostly,0
aspie,risa,0
ginger,seahawkz,1
